Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
29 GIBBENS ST,Somerville,MA,United States,"0","29516227","29, Gibbens Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3885708,-71.10534885","0","0","0",0.00000000000000,0.00000000000000
6 ELLSWORTH ST,Somerville,MA,United States,"0","29739222","6, Ellsworth Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3867389,-71.08641564675264","0","0","0",0.00000000000000,0.00000000000000
45 JAQUES ST,Somerville,MA,United States,"0","29642198","45, Jaques Street, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.39398405,-71.09119596789489","0","0","0",0.00000000000000,0.00000000000000
121 PEARSON RD,Somerville,MA,United States,"0","29533696","119;121, Pearson Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4044721,-71.11553888501098","0","0","0",0.00000000000000,0.00000000000000
14 BROMFIELD RD,Somerville,MA,United States,"0","29681872","14, Bromfield Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40186435,-71.1162914735086","0","0","0",0.00000000000000,0.00000000000000
78 BROMFIELD RD,Somerville,MA,United States,"0","29582699","78, Bromfield Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4038537,-71.1166061818628","0","0","0",0.00000000000000,0.00000000000000
241 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29518970","241;243, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40736685,-71.12970544999999","0","0","0",0.00000000000000,0.00000000000000
34 CAMERON AVE,Somerville,MA,United States,"0","29723159","34, Cameron Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.39974565,-71.12730645532497","0","0","0",0.00000000000000,0.00000000000000
3 MOORE ST,Somerville,MA,United States,"0","29630262","3, Moore Street, Teele Square, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.402361150000004,-71.12709030008341","0","0","0",0.00000000000000,0.00000000000000
5 KENWOOD ST,Somerville,MA,United States,"0","29682096","5, Kenwood Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4001827,-71.1191522281915","0","0","0",0.00000000000000,0.00000000000000
17 WINTER ST,Somerville,MA,United States,"0","29634415","17, Winter Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39751415,-71.12263427348039","0","0","0",0.00000000000000,0.00000000000000
1269 BROADWAY,Somerville,MA,United States,"0","29792334","1259;1261;1265;1267;1269, Broadway, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.4053946,-71.1303002018335","0","0","0",0.00000000000000,0.00000000000000
71 PROSPECT ST,Somerville,MA,United States,"0","29520649","71, Prospect Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.376505949999995,-71.09614126979483","0","0","0",0.00000000000000,0.00000000000000
51 WILLOW AVE,Somerville,MA,United States,"0","29932493","51;53, Willow Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3929294,-71.11738315839517","0","0","0",0.00000000000000,0.00000000000000
26 WINDSOR RD,Somerville,MA,United States,"0","29826837","26;28, Windsor Road, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.393105399999996,-71.11635681366835","0","0","0",0.00000000000000,0.00000000000000
29 PEARSON AVE,Somerville,MA,United States,"0","29514240","29, Pearson Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39574035,-71.11194129672884","0","0","0",0.00000000000000,0.00000000000000
131 MORRISON AVE,Somerville,MA,United States,"0","29795096","131, Morrison Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3962378,-71.11669749727523","0","0","0",0.00000000000000,0.00000000000000
127 JOSEPHINE AVE,Somerville,MA,United States,"0","29682212","127, Josephine Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.399338,-71.11213445","0","0","0",0.00000000000000,0.00000000000000
227 SUMMER ST,Somerville,MA,United States,"0","29683342","227, Summer Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3890488,-71.11124895137263","0","0","0",0.00000000000000,0.00000000000000
49 LINDEN AVE,Somerville,MA,United States,"0","29630738","49, Linden Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.38934865,-71.11280174450678","0","0","0",0.00000000000000,0.00000000000000
1 MOSSLAND ST,Somerville,MA,United States,"0","29631802","1, Mossland Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.38724895,-71.1164344943601","0","0","0",0.00000000000000,0.00000000000000
388 HIGHLAND AVE,Somerville,MA,United States,"0","29789489","388, Highland Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.3952367,-71.11989426795398","0","0","0",0.00000000000000,0.00000000000000
227 HIGHLAND AVE,Somerville,MA,United States,"0","29683182","227, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.39065175,-71.10846608698131","0","0","0",0.00000000000000,0.00000000000000
57 MYRTLE ST,Somerville,MA,United States,"0","29826488","57;59, Myrtle Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3837269,-71.08359280803663","0","0","0",0.00000000000000,0.00000000000000
39 PINCKNEY ST,Somerville,MA,United States,"0","29642570","39, Pinckney Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3834395,-71.08161275","0","0","0",0.00000000000000,0.00000000000000
30 LINCOLN AVE,Somerville,MA,United States,"0","156850674","30, Lincoln Avenue, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,house,"42.38566865,-71.0807532086781","0","0","0",0.00000000000000,0.00000000000000
80 ROGERS AVE,Somerville,MA,United States,"0","29515943","80;82, Rogers Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.398084499999996,-71.11262169532208","0","0","0",0.00000000000000,0.00000000000000
58 MEDFORD ST,Somerville,MA,United States,"0","29742068","58, Medford Street, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",building,yes,"42.3751549,-71.08867463500881","0","0","0",0.00000000000000,0.00000000000000
148 SYCAMORE ST,Somerville,MA,United States,"0","29537396","148, Sycamore Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.39351445,-71.0980220397343","0","0","0",0.00000000000000,0.00000000000000
17 BROWNING RD,Somerville,MA,United States,"0","29537379","17, Browning Road, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3942339,-71.0982298458614","0","0","0",0.00000000000000,0.00000000000000
91 BARTLETT ST,Somerville,MA,United States,"0","29533261","91, Bartlett Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3947218,-71.10112441434603","0","0","0",0.00000000000000,0.00000000000000
22 BARTLETT ST,Somerville,MA,United States,"0","29723720","22, Bartlett Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3927887,-71.10304815725385","0","0","0",0.00000000000000,0.00000000000000
108 GLENWOOD RD,Somerville,MA,United States,"0","29685867","108;110, Glenwood Road, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.395906049999994,-71.10169964864","0","0","0",0.00000000000000,0.00000000000000
12 NASHUA ST,Somerville,MA,United States,"0","29584600","12;14, Nashua Street, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3951689,-71.10544591281507","0","0","0",0.00000000000000,0.00000000000000
54 BENTON RD,Somerville,MA,United States,"0","29532136","54, Benton Road, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.388743500000004,-71.10566539999999","0","0","0",0.00000000000000,0.00000000000000
5 CALVIN ST,Somerville,MA,United States,"0","29515238","5, Calvin Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.37850105,-71.10425121331917","0","0","0",0.00000000000000,0.00000000000000
39 PARKDALE ST,Somerville,MA,United States,"0","29727001","39;41, Parkdale Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37812785,-71.10234782521835","0","0","0",0.00000000000000,0.00000000000000
16 SKEHAN ST,Somerville,MA,United States,"0","29684286","16, Skehan Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37983414999999,-71.10522757752116","0","0","0",0.00000000000000,0.00000000000000
30 HANSON ST,Somerville,MA,United States,"0","29516432","30, Hanson Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.37978855,-71.10552318251716","0","0","0",0.00000000000000,0.00000000000000
207 SUMMER ST,Somerville,MA,United States,"0","29724144","207, Summer Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3881494,-71.10979801544195","0","0","0",0.00000000000000,0.00000000000000
23 TRULL ST,Somerville,MA,United States,"0","29685234","21;23, Trull Street, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3937366,-71.10432018858313","0","0","0",0.00000000000000,0.00000000000000
12 DELL ST,Somerville,MA,United States,"0","29520254","12, Dell Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3828285,-71.08842906997702","0","0","0",0.00000000000000,0.00000000000000
23 CROCKER ST,Somerville,MA,United States,"0","29634070","23, Crocker Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39006825,-71.11017164648376","0","0","0",0.00000000000000,0.00000000000000
120 PEARL ST,Somerville,MA,United States,"0","29828341","120, Pearl Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38542255,-71.087477043984","0","0","0",0.00000000000000,0.00000000000000
355 MEDFORD ST,Somerville,MA,United States,"0","29745652","355, Medford Street, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.388853850000004,-71.09660009203483","0","0","0",0.00000000000000,0.00000000000000
35 MEACHAM ST,Somerville,MA,United States,"0","29787698","35, Meacham Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3981774,-71.09726864788195","0","0","0",0.00000000000000,0.00000000000000
5 MYRTLE ST,Somerville,MA,United States,"0","29642635","1;3;5, Myrtle Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3818903,-71.08373512589208","0","0","0",0.00000000000000,0.00000000000000
49 SARGENT AVE,Somerville,MA,United States,"0","29737716","49, Sargent Avenue, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38976315,-71.09257641459584","0","0","0",0.00000000000000,0.00000000000000
12 SARGENT AVE,Somerville,MA,United States,"0","29932805","12, Sargent Avenue, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.390941600000005,-71.09263183327053","0","0","0",0.00000000000000,0.00000000000000
29 ALSTON ST,Somerville,MA,United States,"0","29746086","29, Alston Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3815849,-71.08956202822071","0","0","0",0.00000000000000,0.00000000000000
109 WALNUT ST,Somerville,MA,United States,"0","29716703","109, Walnut Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3869822,-71.09307033149479","0","0","0",0.00000000000000,0.00000000000000
53 SUNSET RD,Somerville,MA,United States,"0","29822850","51;53, Sunset Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40922235,-71.12567781985501","0","0","0",0.00000000000000,0.00000000000000
48 GORHAM ST,Somerville,MA,United States,"0","29682355","48, Gorham Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.39832745,-71.12617025315026","0","0","0",0.00000000000000,0.00000000000000
87 RAYMOND AVE,Somerville,MA,United States,"0","29794639","85;87, Raymond Avenue, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4077294,-71.12884618323561","0","0","0",0.00000000000000,0.00000000000000
30 MOORE ST,Somerville,MA,United States,"0","29638860","30, Moore Street, Teele Square, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.4014803,-71.1275473","0","0","0",0.00000000000000,0.00000000000000
23 WHITMAN ST,Somerville,MA,United States,"0","29634206","21;23, Whitman Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4024014,-71.12310948414256","0","0","0",0.00000000000000,0.00000000000000
38 GARRISON AVE,Somerville,MA,United States,"0","29517085","38, Garrison Avenue, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.404105099999995,-71.1314938136894","0","0","0",0.00000000000000,0.00000000000000
16 CHETWYND RD,Somerville,MA,United States,"0","29518897","16, Chetwynd Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40805605,-71.12488137616197","0","0","0",0.00000000000000,0.00000000000000
37 CHETWYND RD,Somerville,MA,United States,"0","29641860","37, Chetwynd Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4086054,-71.12554403178264","0","0","0",0.00000000000000,0.00000000000000
24 FAIRMOUNT AVE,Somerville,MA,United States,"0","29533962","24, Fairmount Avenue, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40442915,-71.12775278408898","0","0","0",0.00000000000000,0.00000000000000
18 CORINTHIAN RD,Somerville,MA,United States,"0","29637607","16;18, Corinthian Road, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40106275,-71.12320215037225","0","0","0",0.00000000000000,0.00000000000000
175 COLLEGE AVE,Somerville,MA,United States,"0","29681689","175, College Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.403245,-71.11682049710743","0","0","0",0.00000000000000,0.00000000000000
14 WARNER ST,Somerville,MA,United States,"0","29936539","14, Warner Street, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,detached,"42.4018056,-71.1158992","0","0","0",0.00000000000000,0.00000000000000
41 BROMFIELD RD,Somerville,MA,United States,"0","29940794","41, Bromfield Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.402795850000004,-71.116040197091","0","0","0",0.00000000000000,0.00000000000000
95 WALLACE ST,Somerville,MA,United States,"0","29513881","95, Wallace Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.400544,-71.12094646534302","0","0","0",0.00000000000000,0.00000000000000
10 BOSTON AVE,Somerville,MA,United States,"0","29682708","10;12, Boston Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3950653,-71.11129660414139","0","0","0",0.00000000000000,0.00000000000000
262 WILLOW AVE,Somerville,MA,United States,"0","29513973","262, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3994106,-71.11342670050712","0","0","0",0.00000000000000,0.00000000000000
264 WILLOW AVE,Somerville,MA,United States,"0","29513960","264, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3995182,-71.11335779858935","0","0","0",0.00000000000000,0.00000000000000
16 KIDDER AVE,Somerville,MA,United States,"0","29586081","16;18, Kidder Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39924155,-71.11804285","0","0","0",0.00000000000000,0.00000000000000
14 LESLEY AVE,Somerville,MA,United States,"0","29933397","12;14, Lesley Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39415745,-71.11533929352103","0","0","0",0.00000000000000,0.00000000000000
14 HENRY AVE,Somerville,MA,United States,"0","29514334","14, Henry Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39442675,-71.11597374652946","0","0","0",0.00000000000000,0.00000000000000
22 COTTAGE AVE,Somerville,MA,United States,"0","29583809","22;24, Cottage Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.3940741,-71.12262443060949","0","0","0",0.00000000000000,0.00000000000000
18 DARTMOUTH ST,Somerville,MA,United States,"0","29827544","18, Dartmouth Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.3908623,-71.09738654666977","0","0","0",0.00000000000000,0.00000000000000
75 HEATH ST,Somerville,MA,United States,"0","29933618","75, Heath Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3952588,-71.09543821868365","0","0","0",0.00000000000000,0.00000000000000
7 RICHDALE AVE,Somerville,MA,United States,"0","29937784","7;9, Richdale Avenue, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3890866,-71.0977484","0","0","0",0.00000000000000,0.00000000000000
111 WALNUT ST,Somerville,MA,United States,"0","29642403","111, Walnut Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.38716145,-71.09302907011022","0","0","0",0.00000000000000,0.00000000000000
19 DELL ST,Somerville,MA,United States,"0","29820769","19, Dell Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.383161,-71.0887877","0","0","0",0.00000000000000,0.00000000000000
357 MEDFORD ST,Somerville,MA,United States,"0","29537529","357, Medford Street, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.388939750000006,-71.09668214999999","0","0","0",0.00000000000000,0.00000000000000
369 MEDFORD ST,Somerville,MA,United States,"0","29537496","369, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3895396,-71.09728494545504","0","0","0",0.00000000000000,0.00000000000000
54 PINCKNEY ST,Somerville,MA,United States,"0","29642519","54, Pinckney Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.38440055,-71.08175213265766","0","0","0",0.00000000000000,0.00000000000000
50 DARTMOUTH ST,Somerville,MA,United States,"0","29794581","50, Dartmouth Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.39266265,-71.09613348072006","0","0","0",0.00000000000000,0.00000000000000
16 RICHARDSON ST,Somerville,MA,United States,"0","29516046","16, Richardson Street, Magoun Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3955128,-71.10506958196348","0","0","0",0.00000000000000,0.00000000000000
9 CROSS ST,Somerville,MA,United States,"0","29715199","9, Cross Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3882702,-71.08641879999999","0","0","0",0.00000000000000,0.00000000000000
10 CROSS ST,Somerville,MA,United States,"0","591294842","10, Cross Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",place,house,"42.38824833333334,-71.08609200000001","0","0","0",0.00000000000000,0.00000000000000
26 SYCAMORE ST,Somerville,MA,United States,"0","29822632","26, Sycamore Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3888902,-71.10137230366756","0","0","0",0.00000000000000,0.00000000000000
52 ELM ST,Somerville,MA,United States,"0","29633093","52, Elm Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.387699350000005,-71.1154678562716","0","0","0",0.00000000000000,0.00000000000000
27 CONWELL AVE,Somerville,MA,United States,"0","29826893","25;27, Conwell Avenue, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4074284,-71.12601706920962","0","0","0",0.00000000000000,0.00000000000000
1304 BROADWAY,Somerville,MA,United States,"0","29519118","1304, Broadway, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.4056241,-71.13136058102508","0","0","0",0.00000000000000,0.00000000000000
10 VICTORIA ST,Somerville,MA,United States,"0","29516884","10, Victoria Street, Somerville, Middlesex County, Massachusetts, 02474, United States",building,yes,"42.4052063,-71.13119954753131","0","0","0",0.00000000000000,0.00000000000000
111 ROGERS AVE,Somerville,MA,United States,"0","29723272","111, Rogers Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39880335,-71.11164440442988","0","0","0",0.00000000000000,0.00000000000000
12 MORRISON AVE,Somerville,MA,United States,"0","29785962","12, Morrison Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3944289,-71.11147994129772","0","0","0",0.00000000000000,0.00000000000000
214 MORRISON AVE,Somerville,MA,United States,"0","29514115","214, Morrison Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.397338950000005,-71.12030488794447","0","0","0",0.00000000000000,0.00000000000000
69 LEXINGTON AVE,Somerville,MA,United States,"0","29577923","69, Lexington Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.3945789,-71.11443033009553","0","0","0",0.00000000000000,0.00000000000000
8 ABERDEEN RD,Somerville,MA,United States,"0","29685282","6;8, Aberdeen Road, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39166415,-71.11329728242701","0","0","0",0.00000000000000,0.00000000000000
141 WALNUT ST,Somerville,MA,United States,"0","29745662","141, Walnut Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38879335,-71.09210020250363","0","0","0",0.00000000000000,0.00000000000000
12 NORWOOD AVE,Somerville,MA,United States,"0","29589257","12, Norwood Avenue, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.39612955,-71.10297965879074","0","0","0",0.00000000000000,0.00000000000000
13 BARTLETT ST,Somerville,MA,United States,"0","29635686","13, Bartlett Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3923676,-71.10285895","0","0","0",0.00000000000000,0.00000000000000
14 AMES ST,Somerville,MA,United States,"0","29940457","14, Ames Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3920489,-71.10174542041173","0","0","0",0.00000000000000,0.00000000000000
119 CENTRAL ST,Somerville,MA,United States,"0","29516729","119, Central Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.3909561,-71.10143322158541","0","0","0",0.00000000000000,0.00000000000000
37 HARVARD ST,Somerville,MA,United States,"0","29514799","37, Harvard Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38617065,-71.10683187581316","0","0","0",0.00000000000000,0.00000000000000
6 TENNYSON ST,Somerville,MA,United States,"0","29727405","6, Tennyson Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.39116645,-71.1007686","0","0","0",0.00000000000000,0.00000000000000
4 ESSEX ST,Somerville,MA,United States,"0","29827357","4, Essex Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3895291,-71.09847040016436","0","0","0",0.00000000000000,0.00000000000000
2 ESSEX ST,Somerville,MA,United States,"0","29715618","2, Essex Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38943155,-71.09854093900304","0","0","0",0.00000000000000,0.00000000000000
43 PARKDALE ST,Somerville,MA,United States,"0","29639302","43;45, Parkdale Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3780145,-71.10236477474527","0","0","0",0.00000000000000,0.00000000000000
56B MARSHALL ST,Somerville,MA,United States,"0","142608863","Marshall Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",highway,residential,"42.390549,-71.0942287","0","0","0",0.00000000000000,0.00000000000000
18 WESTWOOD RD,Somerville,MA,United States,"0","29825630","18, Westwood Road, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.387160249999994,-71.10627725","0","0","0",0.00000000000000,0.00000000000000
67 AVON ST,Somerville,MA,United States,"0","29590206","67, Avon Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38637105,-71.10325095029219","0","0","0",0.00000000000000,0.00000000000000
20 AVON ST,Somerville,MA,United States,"0","29685923","20, Avon Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3852443,-71.10137268293295","0","0","0",0.00000000000000,0.00000000000000
7 FRANCESCA AVE,Somerville,MA,United States,"0","29514031","7, Francesca Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39874915,-71.11949344373473","0","0","0",0.00000000000000,0.00000000000000
41 VERNON ST,Somerville,MA,United States,"0","29514481","41, Vernon Street, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.392036950000005,-71.1031399","0","0","0",0.00000000000000,0.00000000000000
143 ALBION ST,Somerville,MA,United States,"0","29516119","143, Albion Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39264735,-71.10963280000001","0","0","0",0.00000000000000,0.00000000000000
31 COLLEGE HILL RD,Somerville,MA,United States,"0","29827812","31;33, College Hill Road, Somerville, Middlesex County, Massachusetts, 02474, United States",building,yes,"42.4092161,-71.1285448258476","0","0","0",0.00000000000000,0.00000000000000
365 MCGRATH HWY,Somerville,MA,United States,"0","29717902","365, McGrath Highway, Brickbottom, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.3807827,-71.08941250719647","0","0","0",0.00000000000000,0.00000000000000
357 HIGHLAND AVE,Somerville,MA,United States,"0","29822731","357, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.3945133,-71.11731101327426","0","0","0",0.00000000000000,0.00000000000000
57 ROGERS AVE,Somerville,MA,United States,"0","29531644","57, Rogers Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39732935,-71.1126316483926","0","0","0",0.00000000000000,0.00000000000000
38 PURITAN RD,Somerville,MA,United States,"0","29789447","36;38, Puritan Road, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,house,"42.39641125,-71.08696318944926","0","0","0",0.00000000000000,0.00000000000000
21 GLEN ST,Somerville,MA,United States,"0","29745744","21, Glen Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38714125,-71.08488315253825","0","0","0",0.00000000000000,0.00000000000000
31 BONAIR ST,Somerville,MA,United States,"0","29537563","31, Bonair Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3883263,-71.08842556666667","0","0","0",0.00000000000000,0.00000000000000
67 FLORENCE ST,Somerville,MA,United States,"0","29820078","67, Florence Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.38461065,-71.08206703006557","0","0","0",0.00000000000000,0.00000000000000
58 PINCKNEY ST,Somerville,MA,United States,"0","29745909","58, Pinckney Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3846762,-71.0815829922135","0","0","0",0.00000000000000,0.00000000000000
6 RUSH ST,Somerville,MA,United States,"0","29519822","6;8, Rush Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3878404,-71.0851038","0","0","0",0.00000000000000,0.00000000000000
1 ELLSWORTH ST,Somerville,MA,United States,"0","29792801","1, Ellsworth Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3869288,-71.0861368233957","0","0","0",0.00000000000000,0.00000000000000
